ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,10,100048,HalsCent,X,-1,,,,,,,,0,0,30,2,5,0.15625,0,0,0,0,0,0,4720,358,,0,0,0,0,0,0,0,7,0,26,130,34.98902,-85.319522,0,34.98905831,-85.31842213,0,0,0.833,,156,156,329
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,20,95,HALSEY/CENTRAL,N,0,,,,,,0.2368296,0.4358173077,0,0,30,2,9,0.28125,0,0,0,0.416,104,0,4720,462,109.4152752,0,39,2,1,0,0,0,9,0,0,0,34.989068,-85.319482,0,34.98902985,-85.31945483,0,0,0,,156,156,16
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,30,1891,HALSEY/USHER,E,0,,,,,0.03606451613,0.135636,0.2566227176,0,0,30,3,9,0.28125,0,0,0,0.192,31,18,4720,475,64.4271,0,24,15,0,4,0,0,10,0,0,0,34.988092,-85.317003,0,34.98809442,-85.31700354,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,40,1915,5232 USHER,N,0,,,,,0.02296774194,0.0905256,0.1712740385,0,0,30,3,9,0.28125,0,0,0,0.076,8,8,4720,475,42.99966,0,8,3,0,3,0,0,10,0,0,0,34.98916,-85.316315,0,34.98913724,-85.31632787,0,0,0,,156,156,9
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,50,72,DORRIS/5216,N,0,,,,,0.0004516129032,0.0932688,0.1764641608,0,0,30,3,9,0.28125,0,0,0,0,0,0,4720,475,44.30268,0,0,0,0,0,0,0,10,0,0,0,34.9899,-85.315905,0,34.98989745,-85.31590418,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,60,1892,USHER/52ND,E,0,,,,,0.0005161290323,0.0950976,0.1806818182,0,0,30,3,9,0.28125,0,0,0,0.006,2,0,4720,477,45.3615552,0,2,0,0,0,0,0,10,0,0,0,34.99066,-85.31548,0,34.99066188,-85.31548369,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,70,161,52ND/FAGAN,S,0,,,,,0.01187096774,0.1639824,0.3141729798,0,0,30,3,9,0.28125,0,0,0,0.032,5,1,4720,481,78.8755344,0,5,1,0,0,0,0,10,0,0,0,34.99054,-85.314538,0,34.99053821,-85.31454271,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,80,74,52ND/524,E,0,,,,,0.005741935484,0.1136904,0.2191773504,0,0,30,3,9,0.28125,0,0,0,0.019,3,0,4720,484,55.0261536,0,3,0,0,0,0,0,10,0,0,0,34.989823,-85.312997,0,34.98982308,-85.31299763,0,0,0,,156,156,0
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,90,75,52ND/POLK,E,0,,,,,0.02290322581,0.2200656,0.4303880148,0,0,30,3,9,0.28125,0,0,0,0.089,13,6,4720,491,108.0522096,0,13,6,0,0,0,0,10,0,0,0,34.989392,-85.311852,0,34.98939378,-85.31185496,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,100,158,52ND/WILSON,E,0,,,,,0.002903225806,0.1795272,0.3518210956,0,0,30,3,9,0.28125,0,0,0,0.153,22,21,4720,492,88.3273824,0,22,13,0,11,0,0,10,0,0,0,34.98899,-85.31004,0,34.98898575,-85.31004597,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,110,157,51ST/WILSON,W,0,,,,,0.004166666667,0.431292,0.817720474,0,0,30,3,9,0.28125,0,0,0,0.16,15,31,4720,476,205.294992,1,15,19,0,14,0,0,10,0,0,0,34.990257,-85.309038,0,34.99025103,-85.3090356,0,0,0,,156,156,2
