,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude_x,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST,stop_id,stop_code,stop_name,Longitude_y
0,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,40,1915,5232 USHER,N,0,,,,,0.02296774194,0.09052560000000001,0.1712740385,0,0,30.0,3,9,0.28125,0,0,0,0.076,8,8,4720.0,475,42.99966,0,8,3,0,3,0,0,10.0,0.0,0.0,0.0,34.98916,-85.316315,0,34.98913724,-85.31632787,0.0,0.0,0.0,,156,156,9.0,1915,1915,5232 USHER,-85.31631999999999
1,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,50,72,DORRIS/5216,N,0,,,,,0.0004516129032,0.0932688,0.1764641608,0,0,30.0,3,9,0.28125,0,0,0,0.0,0,0,4720.0,475,44.30268,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,34.9899,-85.315905,0,34.98989745,-85.31590418,0.0,0.0,0.0,,156,156,1.0,72,72,DORRIS + 5216,-85.31591
2,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,60,1892,USHER/52ND,E,0,,,,,0.0005161290323000001,0.0950976,0.1806818182,0,0,30.0,3,9,0.28125,0,0,0,0.006,2,0,4720.0,477,45.361555200000005,0,2,0,0,0,0,0,10.0,0.0,0.0,0.0,34.99066,-85.31548000000001,0,34.99066188,-85.31548369,0.0,0.0,0.0,,156,156,1.0,1892,1892,USHER + 52ND,-85.31548000000001
3,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,70,161,52ND/FAGAN,S,0,,,,,0.01187096774,0.16398239999999997,0.31417297980000003,0,0,30.0,3,9,0.28125,0,0,0,0.032,5,1,4720.0,481,78.8755344,0,5,1,0,0,0,0,10.0,0.0,0.0,0.0,34.99054,-85.314538,0,34.99053821,-85.31454271,0.0,0.0,0.0,,156,156,2.0,161,161,52ND + FAGAN,-85.31454000000001
4,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,100,158,52ND/WILSON,E,0,,,,,0.002903225806,0.17952720000000003,0.3518210956,0,0,30.0,3,9,0.28125,0,0,0,0.153,22,21,4720.0,492,88.3273824,0,22,13,0,11,0,0,10.0,0.0,0.0,0.0,34.98899,-85.31004,0,34.98898575,-85.31004597,0.0,0.0,0.0,,156,156,2.0,158,158,52ND + WILSON,-85.31004
5,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,180,1899,49TH/715,W,0,,,,,0.06083870967999999,0.1591056,0.3251092657,0,0,30.0,3,11,0.34375,0,0,0,0.307,46,28,4720.0,513,81.6211728,1,46,23,0,5,0,0,10.0,0.0,0.0,0.0,34.99199,-85.30632,0,34.99200748,-85.30637235,0.0,0.0,0.0,,156,156,17.0,1899,1899,49TH + 715,-85.30632
6,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,220,150,WILSON/WORKMANS,N,0,,,,,0.0,0.56388,1.284722222,0,0,30.0,3,12,0.375,0,0,0,0.012,2,1,4720.0,572,322.53936,0,2,1,0,0,0,0,12.0,0.0,0.0,0.0,34.995670000000004,-85.306162,0,34.995670000000004,-85.30615999999999,0.0,0.0,0.0,,156,156,1.0,150,150,WILSON + WORKMANS,-85.30615999999999
7,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,390,113,PIROLA/37TH,W,0,,,,,0.03573333333,0.16581120000000002,0.5197746698,0,0,30.0,5,16,0.5,0,0,0,0.083,20,1,4720.0,787,130.4934144,0,20,0,0,1,0,0,16.0,0.0,0.0,0.0,35.01059,-85.320022,0,35.01057789,-85.31998731,0.0,0.0,0.0,,156,156,11.0,113,113,PIROLA + 37TH,-85.32002
8,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,540,125,33RD/CHATTEM,E,0,,,,,0.008322580645,0.10972799999999999,0.36494755240000004,0,0,30.0,5,17,0.53125,0,0,0,0.051,8,2,4720.0,835,91.62288000000001,0,8,2,0,0,0,0,17.0,0.0,0.0,0.0,35.01727,-85.321325,0,35.01727543,-85.32133758,0.0,0.0,0.0,,156,156,4.0,125,125,33RD + CHATTEM,-85.32133
9,1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,540,125,33RD/CHATTEM,E,0,,,,,0.008322580645,0.10972799999999999,0.36494755240000004,0,0,30.0,5,17,0.53125,0,0,0,0.051,8,2,4720.0,835,91.62288000000001,0,8,2,0,0,0,0,17.0,0.0,0.0,0.0,35.01727,-85.321325,0,35.01727543,-85.32133758,0.0,0.0,0.0,,156,156,4.0,132,132,ALTON PK BLVD + 31ST,-85.31299999999999
